المنطقة,الدولة,العميل,مجموعة المنتج,السنة,النسخة,الفترة,العملة,إجمالي المبيعات,المردودات,صافي المبيعات,تكلفة المبيعات,الربح الإجمالي,المصروفات التشغيلية,ربح التشغيل,الربح قبل الضريبة,ضريبة الشركات,صافي الربح
أفريقيا,جنوب أفريقيا,عميل أفريقيا 1,محركات صناعية,2026,Actual,2026.001,USD,1200000,48000,1152000,748800,403200,207360,195840,180000,39600,140400
أفريقيا,جنوب أفريقيا,عميل أفريقيا 1,محركات صناعية,2026,Actual,2026.002,USD,1180000,47200,1132800,736320,396480,203904,192576,177000,38940,138060
أفريقيا,نيجيريا,عميل أفريقيا 2,مستشعرات ذكية,2026,Actual,2026.001,USD,950000,38000,912000,547200,364800,182400,182400,168000,36960,131040
أفريقيا,كينيا,عميل أفريقيا 3,أنظمة الطاقة,2026,Actual,2026.001,USD,820000,32800,787200,551040,236160,133824,102336,94000,20680,73320
الأمريكتين,الولايات المتحدة,عميل الأمريكتين 1,محركات صناعية,2026,Actual,2026.001,USD,2500000,100000,2400000,1560000,840000,432000,408000,375000,82500,292500
الأمريكتين,البرازيل,عميل الأمريكتين 2,الاتصالات,2026,Actual,2026.001,USD,1800000,72000,1728000,933120,794880,380160,414720,381000,83820,297180
آسيا والمحيط الهادئ,الصين,عميل آسيا 1,برمجيات الأتمتة,2026,Actual,2026.001,USD,3200000,128000,3072000,1290240,1781760,921600,860160,790000,173800,616200
آسيا والمحيط الهادئ,اليابان,عميل آسيا 2,الروبوتات,2026,Actual,2026.001,USD,1500000,60000,1440000,1080000,360000,345600,14400,13200,2904,10296
أوروبا,ألمانيا,عميل أوروبا 1,محركات صناعية,2026,Actual,2026.001,USD,1900000,76000,1824000,1185600,638400,328320,310080,285000,62700,222300
أوروبا,فرنسا,عميل أوروبا 2,قطع الغيار,2026,Actual,2026.001,USD,650000,26000,624000,386880,237120,74880,162240,149000,32780,116220
الشرق الأوسط,الإمارات,عميل الشرق الأوسط 1,محركات صناعية,2026,Actual,2026.001,USD,1100000,44000,1056000,686400,369600,190080,179520,165000,36300,128700
الشرق الأوسط,السعودية,عميل الشرق الأوسط 2,متحكمات قديمة,2026,Actual,2026.001,USD,450000,18000,432000,380160,51840,69120,-17280,-15900,-3498,-12402
